frame_idx,timestamp_ns
0,1772267133995161000
1,1772267134028661000
2,1772267134061654000
3,1772267134095589000
4,1772267134128477000
5,1772267134161300000
6,1772267134195229000
7,1772267134228538000
8,1772267134261640000
9,1772267134295148000
10,1772267134328625000
11,1772267134361648000
12,1772267134395147000
13,1772267134428695000
14,1772267134461724000
15,1772267134495030000
16,1772267134528639000
17,1772267134561841000
18,1772267134595029000
19,1772267134628562000
20,1772267134661899000
21,1772267134695052000
22,1772267134729048000
23,1772267134761654000
24,1772267134795012000
25,1772267134828532000
26,1772267134861892000
27,1772267134895041000
28,1772267134928527000
29,1772267134962193000
30,1772267135028414000
31,1772267135061730000
32,1772267135095027000
33,1772267135128531000
34,1772267135161991000
35,1772267135195113000
36,1772267135228501000
37,1772267135262074000
38,1772267135295083000
39,1772267135328527000
40,1772267135361910000
41,1772267135395145000
42,1772267135428440000
43,1772267135461951000
44,1772267135495473000
45,1772267135528204000
46,1772267135561895000
47,1772267135595480000
48,1772267135628240000
49,1772267135661886000
50,1772267135695357000
51,1772267135728445000
52,1772267135762055000
53,1772267135795040000
54,1772267135828423000
55,1772267135861905000
56,1772267135895279000
57,1772267135928408000
58,1772267135961922000
59,1772267135995433000
60,1772267136028265000
61,1772267136061904000
62,1772267136095285000
63,1772267136128435000
64,1772267136161907000
65,1772267136195285000
66,1772267136228425000
67,1772267136261914000
68,1772267136295354000
69,1772267136328543000
70,1772267136361781000
71,1772267136395390000
72,1772267136428677000
73,1772267136461785000
74,1772267136495445000
75,1772267136528683000
76,1772267136561818000
77,1772267136595376000
78,1772267136628559000
79,1772267136661803000
80,1772267136695295000
81,1772267136728666000
82,1772267136761793000
83,1772267136795310000
84,1772267136828673000
85,1772267136861782000
86,1772267136895299000
87,1772267136928946000
88,1772267136961547000
89,1772267136995252000
90,1772267137028683000
91,1772267137061805000
92,1772267137095288000
93,1772267137128671000
94,1772267137161786000
95,1772267137195383000
96,1772267137228792000
97,1772267137261808000
98,1772267137295173000
99,1772267137328759000
100,1772267137362111000
101,1772267137395103000
102,1772267137428823000
103,1772267137462054000
104,1772267137495168000
105,1772267137528691000
106,1772267137562041000
107,1772267137595173000
108,1772267137628706000
109,1772267137662097000
110,1772267137695146000
111,1772267137728824000
112,1772267137762044000
113,1772267137795045000
114,1772267137828673000
115,1772267137862051000
116,1772267137895173000
117,1772267137928682000
118,1772267137962072000
119,1772267137995164000
120,1772267138028693000
121,1772267138062058000
122,1772267138095415000
123,1772267138128675000
124,1772267138162246000
125,1772267138195225000
126,1772267138228589000
127,1772267138262502000
128,1772267138295153000
129,1772267138328555000
130,1772267138362080000
131,1772267138395394000
132,1772267138428637000
133,1772267138462004000
134,1772267138495419000
135,1772267138528552000
136,1772267138562095000
137,1772267138595446000
138,1772267138628534000
139,1772267138695447000
140,1772267138728564000
141,1772267138762129000
142,1772267138795365000
143,1772267138828563000
144,1772267138862240000
145,1772267138895253000
146,1772267138928556000
147,1772267138962182000
148,1772267138995352000
149,1772267139028570000
150,1772267139062134000
151,1772267139095338000
