t,x,y,yaw
4.166667,0.910023,-4.482350,-6.954705
4.200000,0.811061,-4.610485,-6.992280
4.233333,0.705916,-4.736204,-7.030530
4.266667,0.586011,-4.867581,-7.069791
4.300000,0.443198,-5.010202,-7.110522
4.333333,0.288851,-5.152366,-7.149341
4.366667,0.143800,-5.278001,-7.183605
4.400000,0.004290,-5.391608,-7.216872
4.433333,-0.142380,-5.502542,-7.251732
4.466667,-0.297918,-5.611473,-7.286893
4.500000,-0.453448,-5.713339,-7.318944
4.533333,-0.597743,-5.803180,-7.346123
4.566667,-0.730089,-5.881956,-7.371197
4.600000,-0.853629,-5.952035,-7.396670
4.633333,-0.964433,-6.012139,-7.423098
4.666667,-1.067656,-6.065211,-7.450909
4.700000,-1.164902,-6.112383,-7.479486
4.733333,-1.244571,-6.150169,-7.505732
4.766667,-1.309946,-6.181030,-7.528434
4.800000,-1.360680,-6.205792,-7.548046
4.833333,-1.398438,-6.225675,-7.565802
4.866667,-1.426901,-6.242232,-7.582933
4.900000,-1.447902,-6.256285,-7.600304
4.933333,-1.469149,-6.269950,-7.618523
4.966667,-1.506277,-6.286616,-7.638257
5.000000,-1.569256,-6.307476,-7.660046
5.033333,-1.634640,-6.327333,-7.681358
5.066667,-1.688560,-6.344041,-7.701634
5.100000,-1.738845,-6.359101,-7.722391
5.133333,-1.799384,-6.374103,-7.745041
5.166667,-1.866219,-6.388324,-7.766563
5.200000,-1.927340,-6.400950,-7.784170
5.233333,-1.980677,-6.412234,-7.798935
5.266667,-2.030179,-6.422547,-7.814123
5.300000,-2.057839,-6.431555,-7.829665
5.333333,-2.079635,-6.440064,-7.845882
5.366667,-2.107566,-6.448114,-7.864085
5.400000,-2.129642,-6.455821,-7.882421
5.433333,-2.145862,-6.463428,-7.899205
5.466667,-2.154224,-6.471265,-7.914942
5.500000,-2.154732,-6.479583,-7.930296
5.533333,-2.149393,-6.488448,-7.946737
5.566667,-2.146189,-6.497184,-7.963931
5.600000,-2.151071,-6.504957,-7.981951
5.633333,-2.181809,-6.508819,-8.001283
5.666667,-2.236277,-6.508062,-8.021426
5.700000,-2.296634,-6.505197,-8.039748
5.733333,-2.343242,-6.504179,-8.055527
5.766667,-2.383972,-6.503731,-8.070979
5.800000,-2.428568,-6.501672,-8.087870
5.833333,-2.477006,-6.497898,-8.104085
