t,x,y,yaw
5.233333,1.303809,0.093098,0.109601
5.266667,1.312068,0.094233,0.109568
5.300000,1.320326,0.095369,0.109479
5.333333,1.328585,0.096504,0.109246
5.366667,1.336844,0.097641,0.109490
5.400000,1.345101,0.098784,0.110532
5.433333,1.353359,0.099927,0.110859
5.466667,1.361616,0.101075,0.111680
5.500000,1.369872,0.102229,0.112740
5.533333,1.378126,0.103392,0.113682
5.566667,1.386380,0.104562,0.114275
5.600000,1.394632,0.105742,0.115337
5.633333,1.402883,0.106934,0.116607
5.666667,1.411133,0.108131,0.117228
5.700000,1.419382,0.109334,0.117719
5.733333,1.427631,0.110539,0.118001
5.766667,1.435879,0.111750,0.118549
5.800000,1.444126,0.112966,0.119007
5.833333,1.452373,0.114189,0.119803
5.866667,1.460619,0.115413,0.119904
5.900000,1.468864,0.116643,0.120513
5.933333,1.477108,0.117881,0.121179
5.966667,1.485351,0.119125,0.121818
6.000000,1.493594,0.120374,0.122266
6.033333,1.501836,0.121627,0.122667
6.066667,1.510077,0.122885,0.123298
6.100000,1.518317,0.124149,0.123793
6.133333,1.526557,0.125419,0.124402
6.166667,1.534795,0.126696,0.125083
6.200000,1.543033,0.127977,0.125644
6.233333,1.551270,0.129265,0.126290
6.266667,1.559505,0.130558,0.126903
6.300000,1.567740,0.131858,0.127577
6.333333,1.575974,0.133162,0.128167
6.366667,1.584208,0.134471,0.128633
6.400000,1.592441,0.135786,0.129138
6.433333,1.600672,0.137106,0.129725
6.466667,1.608903,0.138432,0.130455
6.500000,1.617133,0.139764,0.131015
6.533333,1.625362,0.141102,0.131508
6.566667,1.633590,0.142445,0.132129
6.600000,1.641817,0.143794,0.132627
6.633333,1.650043,0.145148,0.133200
6.666667,1.658269,0.146508,0.133798
6.700000,1.666494,0.147873,0.134308
6.733333,1.674717,0.149243,0.134906
6.766667,1.682940,0.150619,0.135460
6.800000,1.691162,0.151999,0.135939
6.833333,1.699384,0.153384,0.136612
6.866667,1.707605,0.154770,0.136634
6.900000,1.715824,0.156165,0.137801
6.933333,1.724043,0.157565,0.138374
6.966667,1.732262,0.158968,0.138717
7.000000,1.740479,0.160378,0.139568
7.033333,1.748695,0.161794,0.140148
7.066667,1.756910,0.163212,0.140514
7.100000,1.765125,0.164637,0.141152
7.133333,1.773339,0.166067,0.141716
7.166667,1.781552,0.167501,0.142209
7.200000,1.789764,0.168940,0.142790
7.233333,1.797975,0.170383,0.143313
7.266667,1.806186,0.171832,0.143908
7.300000,1.814395,0.173285,0.144484
7.333333,1.822604,0.174744,0.145128
7.366667,1.830811,0.176209,0.145762
7.400000,1.839018,0.177679,0.146389
7.433333,1.847224,0.179153,0.146935
7.466667,1.855429,0.180632,0.147548
7.500000,1.863633,0.182117,0.148153
7.533333,1.871836,0.183607,0.148743
7.566667,1.880039,0.185100,0.149207
7.600000,1.888240,0.186598,0.149769
7.633333,1.896441,0.188102,0.150414
7.666667,1.904641,0.189611,0.151066
7.700000,1.912839,0.191124,0.151644
7.733333,1.921037,0.192644,0.152243
7.766667,1.929234,0.194169,0.152905
7.800000,1.937429,0.195700,0.153607
7.833333,1.945624,0.197235,0.154057
7.866667,1.953818,0.198774,0.154633
7.900000,1.962012,0.200317,0.155140
7.933333,1.970204,0.201865,0.155717
