t,x,y,yaw
13.297852,2.589447,1.288501,1.287855
13.384766,2.595601,1.309669,1.298617
13.471680,2.601516,1.330860,1.309382
13.558594,2.607190,1.352068,1.320154
13.645508,2.612623,1.373291,1.330938
13.732422,2.617816,1.394524,1.341740
13.819336,2.622768,1.415765,1.352564
13.906250,2.627479,1.437008,1.363416
13.993164,2.631949,1.458251,1.374301
14.080078,2.636177,1.479489,1.385226
14.166992,2.640162,1.500719,1.396195
14.253906,2.643905,1.521937,1.407214
14.340820,2.647405,1.543140,1.418288
14.427734,2.650661,1.564324,1.429425
14.514648,2.653673,1.585485,1.440628
14.601562,2.656439,1.606621,1.451904
14.688477,2.658961,1.627727,1.463259
14.775391,2.661235,1.648799,1.474698
14.862305,2.663263,1.669836,1.486226
14.949219,2.665043,1.690832,1.497850
15.036133,2.666574,1.711786,1.509573
15.123047,2.667856,1.732693,1.521403
15.209961,2.668887,1.753550,1.533342
15.296875,2.669667,1.774355,1.545397
15.383789,2.670194,1.795103,1.557572
15.470703,2.670467,1.815793,1.569871
15.557617,2.670486,1.836421,1.582298
15.644531,2.670250,1.856984,1.594858
15.731445,2.669757,1.877478,1.607553
15.818359,2.669006,1.897903,1.620386
15.905273,2.667996,1.918253,1.633362
15.992188,2.666725,1.938528,1.646481
16.079102,2.665194,1.958724,1.659745
16.166016,2.663400,1.978838,1.673157
16.252930,2.661343,1.998869,1.686716
16.339844,2.659020,2.018813,1.700424
16.426758,2.656432,2.038668,1.714281
16.513672,2.653576,2.058433,1.728284
16.600586,2.650453,2.078104,1.742435
16.687500,2.647059,2.097680,1.756729
16.774414,2.643395,2.117158,1.771165
16.861328,2.639460,2.136537,1.785740
16.948242,2.635251,2.155814,1.800449
17.035156,2.630769,2.174988,1.815289
17.122070,2.626011,2.194056,1.830253
17.208984,2.620978,2.213018,1.845337
17.295898,2.615668,2.231871,1.860533
17.382812,2.610080,2.250614,1.875834
17.469727,2.604214,2.269246,1.891234
17.556641,2.598068,2.287764,1.906722
17.643555,2.591642,2.306168,1.922290
17.730469,2.584936,2.324456,1.937929
17.817383,2.577948,2.342627,1.953629
17.904297,2.570678,2.360679,1.969378
17.991211,2.563126,2.378613,1.985166
18.078125,2.555291,2.396426,2.000981
18.165039,2.547173,2.414118,2.016812
18.251953,2.538772,2.431688,2.032646
18.338867,2.530088,2.449135,2.048472
18.425781,2.521120,2.466458,2.064277
18.512695,2.511869,2.483657,2.080047
18.599609,2.502336,2.500731,2.095772
18.686523,2.492519,2.517679,2.111438
18.773438,2.482421,2.534502,2.127033
18.860352,2.472041,2.551197,2.142544
18.947266,2.461380,2.567766,2.157960
19.034180,2.450439,2.584207,2.173268
19.121094,2.439219,2.600520,2.188458
19.208008,2.427721,2.616706,2.203518
19.294922,2.415946,2.632764,2.218438
19.381836,2.403896,2.648693,2.233207
19.468750,2.391571,2.664494,2.247817
19.555664,2.378975,2.680167,2.262256
19.642578,2.366107,2.695711,2.276518
19.729492,2.352971,2.711127,2.290595
19.816406,2.339569,2.726414,2.304478
19.903320,2.325902,2.741573,2.318162
19.990234,2.311973,2.756604,2.331639
20.077148,2.297785,2.771507,2.344906
20.164062,2.283340,2.786281,2.357956
20.250977,2.268641,2.800928,2.370786
20.337891,2.253692,2.815448,2.383393
20.424805,2.238495,2.829839,2.395772
20.511719,2.223054,2.844104,2.407923
20.598633,2.207373,2.858242,2.419842
20.685547,2.191454,2.872253,2.431529
20.772461,2.175302,2.886137,2.442984
20.859375,2.158922,2.899896,2.454206
20.946289,2.142316,2.913528,2.465194
21.033203,2.125490,2.927035,2.475951
21.120117,2.108448,2.940416,2.486478
21.207031,2.091195,2.953672,2.496775
21.293945,2.073735,2.966803,2.506846
21.380859,2.056074,2.979809,2.516692
21.467773,2.038216,2.992690,2.526316
21.554688,2.020167,3.005447,2.535722
21.641602,2.001933,3.018079,2.544912
21.728516,1.983519,3.030587,2.553891
21.815430,1.964931,3.042972,2.562662
21.902344,1.946174,3.055232,2.571230
21.989258,1.927255,3.067368,2.579598
22.076172,1.908181,3.079380,2.587772
22.163086,1.888956,3.091268,2.595756
22.250000,1.869588,3.103031,2.603556
22.336914,1.850084,3.114671,2.611175
22.423828,1.830450,3.126186,2.618621
22.510742,1.810693,3.137576,2.625897
22.597656,1.790819,3.148842,2.633010
22.684570,1.770837,3.159982,2.639966
22.771484,1.750752,3.170996,2.646769
22.858398,1.730574,3.181885,2.653426
22.945312,1.710307,3.192647,2.659944
23.032227,1.689962,3.203282,2.666327
23.119141,1.669544,3.213789,2.672583
23.206055,1.649061,3.224168,2.678718
23.292969,1.628521,3.234418,2.684738
23.379883,1.607933,3.244538,2.690649
23.466797,1.587303,3.254528,2.696459
23.553711,1.566640,3.264385,2.702174
23.640625,1.545951,3.274110,2.707801
23.727539,1.525245,3.283702,2.713348
23.814453,1.504529,3.293158,2.718820
23.901367,1.483812,3.302479,2.724227
23.988281,1.463102,3.311662,2.729574
24.075195,1.442407,3.320707,2.734870
24.162109,1.421734,3.329611,2.740123
24.249023,1.401093,3.338374,2.745341
24.335938,1.380490,3.346994,2.750532
24.422852,1.359935,3.355469,2.755705
24.509766,1.339435,3.363797,2.760868
24.596680,1.318998,3.371977,2.766030
24.683594,1.298632,3.380007,2.771201
24.770508,1.278346,3.387884,2.776391
24.857422,1.258147,3.395608,2.781610
24.944336,1.238042,3.403174,2.786867
25.031250,1.218041,3.410583,2.792175
25.118164,1.198150,3.417831,2.797544
25.205078,1.178376,3.424915,2.802987
25.291992,1.158729,3.431834,2.808515
25.378906,1.139215,3.438586,2.814142
25.465820,1.119841,3.445167,2.819882
25.552734,1.100615,3.451574,2.825748
25.639648,1.081544,3.457807,2.831756
25.726562,1.062634,3.463860,2.837922
25.813477,1.043894,3.469733,2.844263
25.900391,1.025329,3.475422,2.850796
25.987305,1.006946,3.480923,2.857541
26.074219,0.988751,3.486235,2.864516
26.161133,0.970752,3.491354,2.871745
26.248047,0.952953,3.496277,2.879248
26.334961,0.935361,3.501001,2.887050
26.421875,0.917982,3.505523,2.895176
26.508789,0.900822,3.509839,2.903654
26.595703,0.883885,3.513947,2.912512
26.682617,0.867177,3.517843,2.921782
26.769531,0.850703,3.521523,2.931495
26.856445,0.834469,3.524985,2.941687
26.943359,0.818477,3.528225,2.952395
27.030273,0.802734,3.531240,2.963660
27.117188,0.787243,3.534026,2.975523
27.204102,0.772008,3.536579,2.988030
27.291016,0.757034,3.538897,3.001228
27.377930,0.742322,3.540976,3.015170
27.464844,0.727878,3.542812,3.029908
27.551758,0.713703,3.544401,3.045500
27.638672,0.699801,3.545741,3.062006
27.725586,0.686174,3.546828,3.079489
27.812500,0.672825,3.547658,3.098014
27.899414,0.659755,3.548228,3.117650
27.986328,0.646968,3.548534,3.138466
28.073242,0.634463,3.548573,-3.122653
28.160156,0.622243,3.548342,-3.099264
28.247070,0.610308,3.547837,-3.074483
28.333984,0.598660,3.547054,-3.048244
28.420898,0.587299,3.545990,-3.020484
28.507812,0.576226,3.544642,-2.991147
28.594727,0.565439,3.543007,-2.960189
28.681641,0.554941,3.541082,-2.927578
28.768555,0.544729,3.538862,-2.893297
28.855469,0.534803,3.536346,-2.857351
28.942383,0.525162,3.533529,-2.819768
29.029297,0.515806,3.530409,-2.780607
29.116211,0.506732,3.526984,-2.739953
29.203125,0.497939,3.523249,-2.697928
29.290039,0.489425,3.519203,-2.654684
29.376953,0.481187,3.514842,-2.610411
29.463867,0.473225,3.510164,-2.565325
29.550781,0.465534,3.505165,-2.519671
29.637695,0.458111,3.499845,-2.473713
29.724609,0.450955,3.494200,-2.427727
29.811523,0.444060,3.488228,-2.381993
29.898438,0.437425,3.481926,-2.336785
29.985352,0.431044,3.475293,-2.292361
30.072266,0.424915,3.468326,-2.248961
30.159180,0.419032,3.461024,-2.206795
30.246094,0.413392,3.453385,-2.166042
30.333008,0.407989,3.445407,-2.126848
30.419922,0.402819,3.437088,-2.089325
30.506836,0.397878,3.428427,-2.053551
30.593750,0.393158,3.419423,-2.019576
30.680664,0.388657,3.410075,-1.987422
30.767578,0.384367,3.400381,-1.957088
30.854492,0.380283,3.390340,-1.928553
30.941406,0.376399,3.379952,-1.901781
31.028320,0.372710,3.369216,-1.876725
31.115234,0.369209,3.358131,-1.853325
31.202148,0.365890,3.346697,-1.831518
31.289062,0.362746,3.334914,-1.811236
31.375977,0.359771,3.322781,-1.792407
31.462891,0.356959,3.310300,-1.774961
31.549805,0.354303,3.297469,-1.758826
31.636719,0.351795,3.284289,-1.743932
31.723633,0.349429,3.270760,-1.730212
31.810547,0.347198,3.256885,-1.717599
31.897461,0.345095,3.242662,-1.706030
31.984375,0.343112,3.228093,-1.695446
32.071289,0.341244,3.213179,-1.685790
32.158203,0.339481,3.197922,-1.677007
32.245117,0.337818,3.182322,-1.669047
32.332031,0.336247,3.166382,-1.661861
32.418945,0.334761,3.150103,-1.655404
32.505859,0.333351,3.133488,-1.649634
32.592773,0.332012,3.116537,-1.644511
32.679688,0.330736,3.099254,-1.639996
32.766602,0.329515,3.081640,-1.636056
32.853516,0.328343,3.063699,-1.632656
32.940430,0.327211,3.045433,-1.629765
33.027344,0.326114,3.026844,-1.627354
33.114258,0.325043,3.007937,-1.625396
33.201172,0.323993,2.988713,-1.623865
33.288086,0.322955,2.969177,-1.622735
33.375000,0.321923,2.949332,-1.621985
33.461914,0.320891,2.929181,-1.621592
33.548828,0.319851,2.908729,-1.621537
33.635742,0.318797,2.887979,-1.621798
33.722656,0.317723,2.866936,-1.622359
33.809570,0.316622,2.845603,-1.623201
33.896484,0.315488,2.823986,-1.624309
33.983398,0.314315,2.802088,-1.625666
34.070312,0.313098,2.779914,-1.627257
34.157227,0.311829,2.757470,-1.629068
34.244141,0.310504,2.734759,-1.631086
34.331055,0.309118,2.711788,-1.633298
34.417969,0.307664,2.688562,-1.635691
34.504883,0.306138,2.665085,-1.638253
34.591797,0.304536,2.641363,-1.640972
34.678711,0.302851,2.617403,-1.643839
34.765625,0.301081,2.593209,-1.646842
34.852539,0.299220,2.568788,-1.649971
34.939453,0.297265,2.544145,-1.653217
35.026367,0.295212,2.519287,-1.656569
35.113281,0.293056,2.494220,-1.660020
35.200195,0.290796,2.468949,-1.663559
35.287109,0.288427,2.443482,-1.667179
35.374023,0.285946,2.417825,-1.670872
35.460938,0.283351,2.391985,-1.674628
35.547852,0.280640,2.365968,-1.678441
35.634766,0.277810,2.339781,-1.682303
35.721680,0.274860,2.313430,-1.686207
35.808594,0.271787,2.286924,-1.690145
35.895508,0.268590,2.260268,-1.694110
35.982422,0.265269,2.233469,-1.698095
36.069336,0.261822,2.206536,-1.702094
36.156250,0.258248,2.179475,-1.706100
36.243164,0.254548,2.152293,-1.710107
36.330078,0.250720,2.124997,-1.714108
36.416992,0.246766,2.097596,-1.718098
36.503906,0.242686,2.070096,-1.722069
36.590820,0.238480,2.042504,-1.726016
36.677734,0.234149,2.014829,-1.729934
36.764648,0.229695,1.987077,-1.733816
36.851562,0.225119,1.959257,-1.737656
36.938477,0.220423,1.931375,-1.741449
37.025391,0.215609,1.903439,-1.745189
37.112305,0.210679,1.875457,-1.748871
37.199219,0.205636,1.847436,-1.752489
37.286133,0.200482,1.819384,-1.756037
37.373047,0.195221,1.791308,-1.759510
37.459961,0.189856,1.763217,-1.762903
37.546875,0.184391,1.735117,-1.766209
37.633789,0.178828,1.707015,-1.769424
37.720703,0.173173,1.678921,-1.772542
37.807617,0.167430,1.650840,-1.775558
37.894531,0.161603,1.622780,-1.778465
37.981445,0.155697,1.594750,-1.781259
38.068359,0.149716,1.566755,-1.783933
38.155273,0.143667,1.538804,-1.786483
38.242188,0.137554,1.510904,-1.788901
38.329102,0.131383,1.483062,-1.791183
38.416016,0.125161,1.455285,-1.793323
38.502930,0.118892,1.427580,-1.795314
38.589844,0.112583,1.399955,-1.797150
38.676758,0.106241,1.372416,-1.798826
38.763672,0.099872,1.344971,-1.800334
