lap_index,phase,raw_x,raw_y,aligned_x,aligned_y,projected_x,projected_y,kept,phase_shift,scale,alignment_rmse,projection_rmse,t0,t1
0,0.076172,1.020694,0.057594,-1.180781,-0.931081,0.013405,-0.019059,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.078125,1.046764,0.060623,-1.165948,-0.928561,0.006176,-0.009459,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.080078,1.072823,0.063750,-1.151132,-0.925946,0.000000,0.000000,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.082031,1.098878,0.066911,-1.136318,-0.923321,-0.005021,0.009271,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.083984,1.124945,0.069965,-1.121513,-0.920640,-0.008786,0.018308,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.085938,1.150997,0.073151,-1.106712,-0.917941,-0.011193,0.027064,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.087891,1.177045,0.076366,-1.091900,-0.915301,-0.012141,0.035493,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.089844,1.203073,0.079737,-1.077102,-0.912587,-0.011525,0.043573,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.091797,1.229098,0.083131,-1.062307,-0.909856,-0.009264,0.051571,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.093750,1.255120,0.086553,-1.047528,-0.907037,-0.005441,0.059569,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.095703,1.281137,0.090008,-1.032752,-0.904205,-0.000170,0.067552,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.097656,1.307142,0.093556,-1.017979,-0.901357,0.006437,0.075509,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.099609,1.333143,0.097131,-1.003209,-0.898490,0.014266,0.083426,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.101562,1.359141,0.100731,-0.988450,-0.895570,0.023203,0.091292,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.103516,1.385131,0.104385,-0.973694,-0.892635,0.033136,0.099093,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.105469,1.411108,0.108128,-0.958940,-0.889686,0.043951,0.106817,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.107422,1.437078,0.111927,-0.944193,-0.886706,0.055534,0.114451,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.109375,1.463040,0.115774,-0.929456,-0.883676,0.067774,0.121983,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.111328,1.488994,0.119677,-0.914726,-0.880614,0.080555,0.129401,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.113281,1.514940,0.123631,-0.900001,-0.877525,0.093766,0.136691,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.115234,1.540877,0.127642,-0.885283,-0.874403,0.107292,0.143840,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.117188,1.566806,0.131710,-0.870572,-0.871253,0.121021,0.150838,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.119141,1.592726,0.135831,-0.855867,-0.868071,0.134839,0.157670,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.121094,1.618637,0.140009,-0.841169,-0.864856,0.148633,0.164324,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.123047,1.644539,0.144242,-0.826478,-0.861612,0.162289,0.170788,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.125000,1.670432,0.148529,-0.811794,-0.858335,0.175695,0.177048,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.126953,1.696317,0.152867,-0.797117,-0.855027,0.188737,0.183094,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.128906,1.722194,0.157250,-0.782447,-0.851688,0.201302,0.188911,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.130859,1.748063,0.161685,-0.767783,-0.848320,0.213276,0.194487,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.132812,1.773922,0.166169,-0.753125,-0.844927,0.225019,0.199773,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.134766,1.799774,0.170700,-0.738475,-0.841505,0.236953,0.204745,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.136719,1.825617,0.175282,-0.723830,-0.838055,0.249065,0.209428,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.138672,1.851450,0.179915,-0.709193,-0.834577,0.261340,0.213846,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.140625,1.877275,0.184597,-0.694561,-0.831072,0.273762,0.218023,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.142578,1.903091,0.189326,-0.679937,-0.827537,0.286317,0.221985,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.144531,1.928898,0.194106,-0.665320,-0.823975,0.298991,0.225756,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.146484,1.954695,0.198939,-0.650709,-0.820386,0.311768,0.229360,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.148438,1.980484,0.203815,-0.636105,-0.816767,0.324633,0.232822,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.150391,2.006264,0.208738,-0.621509,-0.813120,0.337573,0.236166,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.152344,2.032035,0.213702,-0.606919,-0.809448,0.350571,0.239418,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.154297,2.057799,0.218708,-0.592335,-0.805749,0.363614,0.242602,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.156250,2.083557,0.223747,-0.577758,-0.802027,0.376686,0.245742,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.158203,2.109310,0.228810,-0.563186,-0.798281,0.389773,0.248863,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.160156,2.135055,0.233910,-0.548620,-0.794517,0.402859,0.251990,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.162109,2.160793,0.239049,-0.534057,-0.790739,0.415931,0.255147,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.164062,2.186522,0.244230,-0.519499,-0.786940,0.428973,0.258358,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.166016,2.212246,0.249439,-0.504947,-0.783119,0.441970,0.261650,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.167969,2.237966,0.254666,-0.490401,-0.779274,0.454908,0.265045,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.169922,2.263681,0.259918,-0.475860,-0.775414,0.467771,0.268568,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.171875,2.289389,0.265201,-0.461321,-0.771543,0.480546,0.272245,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.173828,2.315090,0.270520,-0.446786,-0.767658,0.493250,0.276039,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.175781,2.340789,0.275848,-0.432256,-0.763756,0.505981,0.279775,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.177734,2.366503,0.281103,-0.417731,-0.759833,0.518741,0.283449,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.179688,2.392227,0.286313,-0.403207,-0.755905,0.531524,0.287077,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.181641,2.417965,0.291450,-0.388673,-0.752019,0.544324,0.290670,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.183594,2.443718,0.296509,-0.374131,-0.748158,0.557134,0.294242,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.185547,2.469483,0.301510,-0.359579,-0.744338,0.569950,0.297807,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.187500,2.495264,0.306431,-0.345015,-0.740562,0.582765,0.301376,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.189453,2.521056,0.311287,-0.330443,-0.736819,0.595574,0.304964,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.191406,2.546863,0.316068,-0.315859,-0.733121,0.608369,0.308583,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.193359,2.572683,0.320775,-0.301266,-0.729461,0.621146,0.312247,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.195312,2.598516,0.325410,-0.286663,-0.725843,0.633899,0.315969,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.197266,2.624439,0.329492,-0.272049,-0.722266,0.646621,0.319762,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.199219,2.650272,0.334049,-0.257425,-0.718730,0.659306,0.323638,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.201172,2.675909,0.339660,-0.242731,-0.715507,0.671949,0.327613,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.203125,2.701523,0.345301,-0.228105,-0.712017,0.684544,0.331697,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.205078,2.727451,0.349369,-0.213626,-0.707928,0.697084,0.335906,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.207031,2.753337,0.353653,-0.199162,-0.703825,0.709565,0.340250,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
