t,x,y,yaw
5.233333,1.291950,0.113595,-0.055867
5.266667,1.300238,0.112731,-0.103898
5.300000,1.308469,0.111425,-0.157339
5.333333,1.316638,0.109781,-0.198560
5.366667,1.324782,0.108015,-0.213621
5.400000,1.332925,0.106241,-0.214485
5.433333,1.341059,0.104429,-0.219172
5.466667,1.349218,0.102734,-0.204825
5.500000,1.357428,0.101304,-0.172491
5.533333,1.365677,0.100122,-0.142268
5.566667,1.373944,0.099075,-0.126074
5.600000,1.382238,0.098266,-0.097153
5.633333,1.390554,0.097732,-0.064100
5.666667,1.398871,0.097213,-0.062320
5.700000,1.407194,0.096786,-0.051351
5.733333,1.415514,0.096326,-0.055216
5.766667,1.423835,0.095862,-0.055678
5.800000,1.432152,0.095339,-0.062800
5.833333,1.440470,0.094838,-0.060129
5.866667,1.448785,0.094288,-0.066073
5.900000,1.457102,0.093761,-0.063344
5.933333,1.465419,0.093245,-0.061869
5.966667,1.473736,0.092730,-0.061872
6.000000,1.482052,0.092189,-0.065001
6.033333,1.490366,0.091612,-0.069225
6.066667,1.498680,0.091053,-0.067132
6.100000,1.506995,0.090504,-0.065955
6.133333,1.515313,0.089989,-0.061882
6.166667,1.523633,0.089516,-0.056705
6.200000,1.531954,0.089076,-0.052918
6.233333,1.540279,0.088696,-0.045610
6.266667,1.548606,0.088380,-0.037948
6.300000,1.556937,0.088156,-0.026866
6.333333,1.565269,0.088004,-0.018223
6.366667,1.573601,0.087880,-0.014868
6.400000,1.581934,0.087800,-0.009582
6.433333,1.590267,0.087754,-0.005490
6.466667,1.598600,0.087743,-0.001344
6.500000,1.606934,0.087793,0.005925
6.533333,1.615267,0.087838,0.005515
6.566667,1.623600,0.087923,0.010181
6.600000,1.631933,0.087974,0.006097
6.633333,1.640266,0.088001,0.003274
6.666667,1.648600,0.087994,-0.000926
6.700000,1.656933,0.087917,-0.009141
6.733333,1.665265,0.087793,-0.014889
6.766667,1.673597,0.087626,-0.020070
6.800000,1.681928,0.087438,-0.022538
6.833333,1.690259,0.087267,-0.020531
6.866667,1.698588,0.087000,-0.032102
6.900000,1.706920,0.086842,-0.018942
6.933333,1.715253,0.086728,-0.013703
6.966667,1.723585,0.086602,-0.015062
7.000000,1.731918,0.086520,-0.009818
7.033333,1.740251,0.086435,-0.010296
7.066667,1.748583,0.086291,-0.017252
7.100000,1.756915,0.086118,-0.020770
7.133333,1.765246,0.085926,-0.023064
7.166667,1.773576,0.085692,-0.028015
7.200000,1.781905,0.085436,-0.030724
7.233333,1.790234,0.085173,-0.031542
7.266667,1.798564,0.084922,-0.030220
7.300000,1.806894,0.084693,-0.027397
7.333333,1.815225,0.084508,-0.022195
7.366667,1.823558,0.084364,-0.017279
7.400000,1.831890,0.084245,-0.014333
7.433333,1.840222,0.084120,-0.014949
7.466667,1.848555,0.084006,-0.013695
7.500000,1.856887,0.083881,-0.015095
7.533333,1.865219,0.083738,-0.017097
7.566667,1.873551,0.083553,-0.022227
7.600000,1.881882,0.083358,-0.023356
7.633333,1.890213,0.083179,-0.021569
7.666667,1.898545,0.083037,-0.016954
7.700000,1.906878,0.082926,-0.013339
7.733333,1.915211,0.082837,-0.010691
7.766667,1.923544,0.082783,-0.006537
7.800000,1.931877,0.082760,-0.002728
7.833333,1.940210,0.082707,-0.006308
7.866667,1.948544,0.082666,-0.004890
7.900000,1.956877,0.082614,-0.006258
7.933333,1.965210,0.082571,-0.005194
7.966667,1.973543,0.082547,-0.002876
8.000000,1.981877,0.082538,-0.001036
8.033333,1.990210,0.082584,0.005443
8.066667,1.998543,0.082605,0.002520
8.100000,2.006876,0.082663,0.006926
8.133333,2.015209,0.082717,0.006508
8.166667,2.023543,0.082750,0.004016
8.200000,2.031876,0.082814,0.007640
8.233333,2.040209,0.082899,0.010266
8.266667,2.048542,0.082962,0.007452
8.300000,2.056875,0.083010,0.005792
8.333333,2.065208,0.083090,0.009623
8.366667,2.073541,0.083102,0.001434
8.400000,2.081875,0.083105,0.000412
8.433333,2.090208,0.083097,-0.001055
8.466667,2.098541,0.083071,-0.003101
8.500000,2.106874,0.083028,-0.005161
8.533333,2.115208,0.082993,-0.004157
8.566667,2.123541,0.082972,-0.002497
8.600000,2.131874,0.082928,-0.005352
8.633333,2.140207,0.082870,-0.006967
8.666667,2.148540,0.082800,-0.008297
8.700000,2.156873,0.082729,-0.008541
8.733333,2.165206,0.082649,-0.009620
8.766667,2.173539,0.082581,-0.008122
8.800000,2.181873,0.082513,-0.008179
8.833333,2.190206,0.082466,-0.005727
8.866667,2.198539,0.082439,-0.003210
8.900000,2.206872,0.082415,-0.002813
8.933333,2.215206,0.082392,-0.002851
8.966667,2.223539,0.082372,-0.002307
9.000000,2.231872,0.082360,-0.001535
9.033333,2.240206,0.082340,-0.002312
9.066667,2.248539,0.082321,-0.002323
9.100000,2.256872,0.082306,-0.001848
9.133333,2.265206,0.082317,0.001401
9.166667,2.273539,0.082346,0.003446
9.200000,2.281872,0.082360,0.001725
9.233333,2.290205,0.082362,0.000166
9.266667,2.298539,0.082371,0.001094
9.300000,2.306872,0.082376,0.000649
9.333333,2.315205,0.082355,-0.002536
9.366667,2.323539,0.082334,-0.002554
9.400000,2.331872,0.082330,-0.000509
9.433333,2.340204,0.082168,-0.019447
9.466667,2.348531,0.081839,-0.039405
9.500000,2.356852,0.081396,-0.053179
9.533333,2.365166,0.080820,-0.069161
9.566667,2.373485,0.080330,-0.058846
9.600000,2.381813,0.080032,-0.035851
9.633333,2.390137,0.079649,-0.045968
9.666667,2.398456,0.079163,-0.058327
9.700000,2.406779,0.078748,-0.049793
9.733333,2.415104,0.078370,-0.045367
9.766667,2.423423,0.077887,-0.058067
9.800000,2.431742,0.077386,-0.060089
9.833333,2.440056,0.076830,-0.066846
9.866667,2.448365,0.076190,-0.076763
9.900000,2.456680,0.075637,-0.066406
9.933333,2.464999,0.075147,-0.058923
9.966667,2.473314,0.074594,-0.066412
10.000000,2.481631,0.074070,-0.062873
10.033333,2.489945,0.073501,-0.068401
10.066667,2.498253,0.072861,-0.076858
10.100000,2.506566,0.072275,-0.070286
10.133333,2.514881,0.071718,-0.066929
10.166667,2.523193,0.071132,-0.070384
10.200000,2.531504,0.070514,-0.074216
10.233333,2.539810,0.069848,-0.080076
10.266667,2.548119,0.069199,-0.077913
10.300000,2.556423,0.068505,-0.083392
10.333333,2.564728,0.067819,-0.082342
10.366667,2.573041,0.067232,-0.070587
10.400000,2.581348,0.066576,-0.078797
10.433333,2.589655,0.065915,-0.079382
10.466667,2.597974,0.065427,-0.058642
10.500000,2.606293,0.064937,-0.058722
10.533333,2.614576,0.064024,-0.109840
10.566667,2.621858,0.059972,-0.507808
10.600000,2.621678,0.068303,1.592407
10.633333,2.630002,0.067904,-0.047927
10.666667,2.621709,0.068726,3.042735
10.700000,2.623380,0.060562,4.914256
10.733333,2.620246,0.052841,4.326892
10.766667,2.620019,0.044510,4.685128
10.800000,2.615004,0.037855,4.066529
10.833333,2.607750,0.041959,2.626740
10.866667,2.599421,0.042215,3.110886
10.900000,2.605626,0.047777,0.730897
10.933333,2.606281,0.039470,-1.492104
10.966667,2.611228,0.032764,-0.935233
11.000000,2.619325,0.034733,0.238597
11.033333,2.623413,0.041995,1.058149
11.066667,2.630567,0.046268,0.538319
11.100000,2.638084,0.049865,0.446291
11.133333,2.629768,0.049328,3.206084
11.166667,2.634777,0.042668,5.357244
11.200000,2.638679,0.035304,5.199593
11.233333,2.634940,0.027856,4.247132
11.266667,2.626607,0.027872,3.139780
11.300000,2.621016,0.021692,3.976957
11.333333,2.618173,0.013858,4.364331
11.366667,2.615403,0.021718,1.909751
11.400000,2.623669,0.022776,0.127319
11.433333,2.631718,0.024932,0.261755
11.466667,2.632227,0.033250,1.509620
11.500000,2.625453,0.038103,2.520002
11.533333,2.626333,0.046389,1.465006
11.566667,2.628913,0.054313,1.256027
11.600000,2.620694,0.052939,3.307229
11.633333,2.619035,0.044773,4.512032
11.666667,2.627100,0.042675,6.028761
11.700000,2.618915,0.041112,3.330276
11.733333,2.626474,0.044620,0.434526
11.766667,2.633939,0.048324,0.460548
11.800000,2.641055,0.052661,0.547334
11.833333,2.646527,0.058946,0.854399
11.866667,2.650272,0.066390,1.104624
11.900000,2.652672,0.074370,1.278687
11.933333,2.651735,0.082651,1.683456
11.966667,2.645856,0.088557,2.353877
12.000000,2.637997,0.091327,2.802776
12.033333,2.629736,0.090232,3.273316
12.066667,2.621803,0.087679,3.452911
12.100000,2.614729,0.083275,3.698517
12.133333,2.607829,0.078602,3.736869
12.166667,2.602237,0.072423,3.976795
12.200000,2.598263,0.065098,4.215299
12.233333,2.591336,0.060466,3.731064
12.266667,2.584169,0.056214,3.677007
12.300000,2.576003,0.057875,2.940980
12.333333,2.571988,0.065177,2.073516
12.366667,2.569659,0.073178,1.854077
12.400000,2.567843,0.081311,1.790445
12.433333,2.569664,0.089443,1.350426
12.466667,2.573008,0.097076,1.158007
12.500000,2.571618,0.105293,1.738354
12.533333,2.563489,0.107130,2.919400
12.566667,2.561396,0.099063,4.458456
12.600000,2.566267,0.092302,5.336737
12.633333,2.567856,0.084122,4.904164
12.666667,2.570864,0.076350,5.081696
12.700000,2.575092,0.069169,5.244547
12.733333,2.580326,0.062684,5.391420
12.766667,2.585715,0.056329,5.415730
12.800000,2.591677,0.050506,5.509594
12.833333,2.599478,0.047576,5.923944
12.866667,2.607478,0.049912,6.567311
12.900000,2.615656,0.051510,6.476061
12.933333,2.623978,0.051954,6.336480
12.966667,2.632298,0.052421,6.339321
13.000000,2.640629,0.052230,6.260291
13.033333,2.648960,0.052459,6.310622
13.066667,2.657136,0.054068,6.477500
13.100000,2.665401,0.055134,6.411402
13.133333,2.673566,0.056801,6.484683
13.166667,2.681499,0.059352,6.594259
13.200000,2.689264,0.062377,6.654618
13.233333,2.697277,0.064666,6.561428
13.266667,2.705521,0.065881,6.429514
13.300000,2.713828,0.066548,6.363397
13.333333,2.722151,0.066968,6.333561
13.366667,2.730433,0.067891,6.394227
13.400000,2.738750,0.068399,6.344081
13.433333,2.747066,0.067849,6.217150
13.466667,2.755274,0.066408,6.109458
13.500000,2.763411,0.064612,6.065925
13.533333,2.771482,0.062536,6.031403
13.566667,2.779639,0.060831,6.077160
13.600000,2.787830,0.059299,6.098330
13.633333,2.796039,0.057865,6.110227
13.666667,2.804187,0.056120,6.072170
13.700000,2.812035,0.053317,5.940186
13.733333,2.819665,0.049965,5.869169
13.766667,2.826488,0.045180,5.671649
13.800000,2.832651,0.039572,5.544870
13.833333,2.839178,0.034391,5.612254
13.866667,2.845591,0.029069,5.590468
